Date,USA30Open,USA30High,USA30Low,USA30Close,USA30Adj Close,USA30Volume,DAX30Open,DAX30High,DAX30Low,DAX30Close,DAX30Adj Close,DAX30Volume,CHINA225Open,CHINA225High,CHINA225Low,CHINA225Close,CHINA225Adj Close,CHINA225Volume,CANADA40Open,CANADA40High,CANADA40Low,CANADA40Close,CANADA40Adj Close,CANADA40Volume,BEL20Open,BEL20High,BEL20Low,BEL20Close,BEL20Adj Close,BEL20Volume,EURO50Open,EURO50High,EURO50Low,EURO50Close,EURO50Adj Close,EURO50Volume
1991-05-21,2892.659912,2931.800049,2875.000000,2906.080078,2906.080078,18950000,1612.479980,1612.479980,1612.479980,1612.479980,1612.479980,0,25461.189453,25556.470703,25227.640625,25481.210938,25481.210938,0,1826.500000,1834.400024,1819.699951,1833.099976,1833.099976,0,1171.099976,1171.099976,1171.099976,1171.099976,1171.099976,0,1015.400024,1015.400024,1015.400024,1015.400024,1015.400024,0
1991-05-22,2908.989990,2930.010010,2881.929932,2910.330078,2910.330078,16960000,1640.729980,1640.729980,1640.729980,1640.729980,1640.729980,0,25515.039063,25768.519531,25398.660156,25398.660156,25398.660156,0,1837.800049,1846.099976,1829.300049,1831.099976,1831.099976,0,1172.300049,1172.300049,1172.300049,1172.300049,1172.300049,0,1021.140015,1021.140015,1021.140015,1021.140015,1021.140015,0
1991-05-23,2912.340088,2935.379883,2881.040039,2900.040039,2900.040039,18660000,1641.209961,1641.209961,1641.209961,1641.209961,1641.209961,0,25466.320313,25721.269531,25350.820313,25643.650391,25643.650391,0,1820.300049,1826.000000,1812.400024,1813.699951,1813.699951,0,1167.800049,1167.800049,1167.800049,1167.800049,1167.800049,0,1020.260010,1020.260010,1020.260010,1020.260010,1020.260010,0
1991-05-24,2903.169922,2931.129883,2893.780029,2913.909912,2913.909912,13050000,1662.290039,1662.290039,1662.290039,1662.290039,1662.290039,0,25677.880859,25741.099609,25451.330078,25529.140625,25529.140625,0,1821.099976,1821.099976,1803.199951,1804.800049,1804.800049,0,1166.599976,1166.599976,1166.599976,1166.599976,1166.599976,0,1021.299988,1021.299988,1021.299988,1021.299988,1021.299988,0
1991-05-28,2924.419922,2965.120117,2903.850098,2958.860107,2958.860107,19140000,1675.280029,1675.280029,1675.280029,1675.280029,1675.280029,0,25406.250000,25517.410156,25340.960938,25390.669922,25390.669922,0,1806.800049,1810.900024,1794.099976,1794.099976,1794.099976,0,1158.900024,1158.900024,1158.900024,1158.900024,1158.900024,0,1027.339966,1027.339966,1027.339966,1027.339966,1027.339966,0
1991-05-29,2963.320068,2987.919922,2940.739990,2969.590088,2969.590088,25210000,1686.420044,1686.420044,1686.420044,1686.420044,1686.420044,0,25456.750000,25649.769531,25456.750000,25495.410156,25495.410156,0,1823.000000,1830.500000,1816.800049,1825.199951,1825.199951,0,1163.199951,1163.199951,1163.199951,1163.199951,1163.199951,0,1031.319946,1031.319946,1031.319946,1031.319946,1031.319946,0
1991-05-30,2965.560059,3022.810059,2950.580078,3000.449951,3000.449951,29980000,null,null,null,null,null,null,25555.769531,25719.990234,25555.769531,25647.400391,25647.400391,0,1826.599976,1838.599976,1823.800049,1837.099976,1837.099976,0,1163.800049,1163.800049,1163.800049,1163.800049,1163.800049,0,1035.189941,1035.189941,1035.189941,1035.189941,1035.189941,0
1991-05-31,3005.810059,3044.500000,2972.939941,3027.500000,3027.500000,28070000,1707.959961,1707.959961,1707.959961,1707.959961,1707.959961,0,25716.740234,25901.470703,25716.740234,25789.619141,25789.619141,0,1848.000000,1864.400024,1845.000000,1861.800049,1861.800049,0,1171.699951,1171.699951,1171.699951,1171.699951,1171.699951,0,1045.520020,1045.520020,1045.520020,1045.520020,1045.520020,0
1991-06-03,3023.030029,3057.469971,3000.669922,3035.330078,3035.330078,19930000,1704.189941,1704.189941,1704.189941,1704.189941,1704.189941,0,25840.910156,26017.160156,25745.339844,25912.609375,25912.609375,0,1864.500000,1877.900024,1861.599976,1865.699951,1865.699951,0,1175.900024,1175.900024,1175.900024,1175.900024,1175.900024,0,1048.030029,1048.030029,1048.030029,1048.030029,1048.030029,0
1991-06-04,3006.929932,3042.040039,2992.620117,3027.949951,3027.949951,18150000,1689.300049,1689.300049,1689.300049,1689.300049,1689.300049,0,25817.630859,25817.630859,25539.500000,25556.859375,25556.859375,0,1859.699951,1859.699951,1845.500000,1851.300049,1851.300049,0,1176.800049,1176.800049,1176.800049,1176.800049,1176.800049,0,1044.260010,1044.260010,1044.260010,1044.260010,1044.260010,0
1991-06-05,3024.820068,3042.929932,2989.489990,3005.370117,3005.370117,19960000,1705.739990,1705.739990,1705.739990,1705.739990,1705.739990,0,25544.830078,25625.410156,25271.429688,25289.570313,25289.570313,0,1857.599976,1870.199951,1856.500000,1862.900024,1862.900024,0,1181.400024,1181.400024,1181.400024,1181.400024,1181.400024,0,1051.300049,1051.300049,1051.300049,1051.300049,1051.300049,0
1991-06-06,3002.679932,3027.060059,2975.629883,2994.860107,2994.860107,18160000,1708.699951,1708.699951,1708.699951,1708.699951,1708.699951,0,25299.240234,25299.240234,24912.119141,24984.119141,24984.119141,0,1860.099976,1877.099976,1858.599976,1863.900024,1863.900024,0,1186.599976,1186.599976,1186.599976,1186.599976,1186.599976,0,1045.719971,1045.719971,1045.719971,1045.719971,1045.719971,0
1991-06-07,2984.120117,3005.139893,2954.610107,2976.739990,2976.739990,17500000,1708.359985,1708.359985,1708.359985,1708.359985,1708.359985,0,25031.070313,25212.550781,25027.320313,25035.109375,25035.109375,0,1863.800049,1863.800049,1850.300049,1852.500000,1852.500000,0,1184.300049,1184.300049,1184.300049,1184.300049,1184.300049,0,1043.219971,1043.219971,1043.219971,1043.219971,1043.219971,0
1991-06-10,2975.629883,2992.840088,2958.409912,2975.399902,2975.399902,12290000,1698.079956,1698.079956,1698.079956,1698.079956,1698.079956,0,25001.080078,25001.080078,24598.380859,24598.380859,24598.380859,0,1840.500000,1848.400024,1840.500000,1846.300049,1846.300049,0,1178.800049,1178.800049,1178.800049,1178.800049,1178.800049,0,1042.469971,1042.469971,1042.469971,1042.469971,1042.469971,0
1991-06-11,2980.320068,3012.080078,2963.100098,2985.909912,2985.909912,16780000,1713.300049,1713.300049,1713.300049,1713.300049,1713.300049,0,24571.949219,24721.269531,24460.300781,24662.589844,24662.589844,0,1851.900024,1876.900024,1851.500000,1874.800049,1874.800049,0,1181.300049,1181.300049,1181.300049,1181.300049,1181.300049,0,1050.000000,1050.000000,1050.000000,1050.000000,1050.000000,0
1991-06-12,2978.080078,2987.250000,2928.889893,2961.989990,2961.989990,18590000,1699.280029,1699.280029,1699.280029,1699.280029,1699.280029,0,24719.400391,24876.320313,24482.689453,24482.689453,24482.689453,0,1869.800049,1873.900024,1846.900024,1846.900024,1846.900024,0,1181.099976,1181.099976,1181.099976,1181.099976,1181.099976,0,1041.420044,1041.420044,1041.420044,1041.420044,1041.420044,0
1991-06-13,2962.209961,2982.110107,2942.530029,2965.120117,2965.120117,17020000,1688.849976,1688.849976,1688.849976,1688.849976,1688.849976,0,24454.679688,24808.169922,24334.349609,24808.169922,24808.169922,0,1844.300049,1851.300049,1834.099976,1847.199951,1847.199951,0,1180.800049,1180.800049,1180.800049,1180.800049,1180.800049,0,1039.109985,1039.109985,1039.109985,1039.109985,1039.109985,0
1991-06-14,2978.310059,3014.979980,2967.580078,3000.449951,3000.449951,21240000,1702.880005,1702.880005,1702.880005,1702.880005,1702.880005,0,24824.539063,25135.810547,24824.539063,25093.890625,25093.890625,0,1852.400024,1860.599976,1842.699951,1858.199951,1858.199951,0,1186.000000,1186.000000,1186.000000,1186.000000,1186.000000,0,1047.250000,1047.250000,1047.250000,1047.250000,1047.250000,0
1991-06-17,3000.669922,3021.689941,2977.860107,2993.959961,2993.959961,15950000,1714.219971,1714.219971,1714.219971,1714.219971,1714.219971,0,25089.750000,25100.310547,24892.400391,24943.089844,24943.089844,0,1861.400024,1861.400024,1837.300049,1844.900024,1844.900024,0,1184.300049,1184.300049,1184.300049,1184.300049,1184.300049,0,1041.319946,1041.319946,1041.319946,1041.319946,1041.319946,0
1991-06-18,2993.070068,3022.139893,2970.479980,2986.810059,2986.810059,19140000,1694.000000,1694.000000,1694.000000,1694.000000,1694.000000,0,24885.390625,24885.390625,24649.369141,24685.470703,24685.470703,0,1824.500000,1832.599976,1819.199951,1830.599976,1830.599976,0,1180.599976,1180.599976,1180.599976,1180.599976,1180.599976,0,1037.890015,1037.890015,1037.890015,1037.890015,1037.890015,0
